cd_point,Modele,Usage,insee_commune,nom_commune,cd_hydrogeo,nom_hydrogeo,cd_ce,lib_ce,type_point,Ressource,BSS,lib_point,lieudit,X_L93Original,Y_L93Original,X_L93New,Y_L93New,profondeur,Milieur recepteur,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Somme
A24283002,,Agricole,"24253",Mareuil en Perigord,,,,,CONT,Retenue,,CHASSENAT,CHASSENAT,507883.16,6483529.5,507883.16,6483529.5,"0",,28634,2186,16179,27848,17207,332,0,20971,8801,29937,18256,2887,19993,25963,20589,24542,10874,275 199
A24283005,,Agricole,"24253",Mareuil en Perigord,,,,,CONT,Retenue,,LES AGES,LES AGES,507883.16,6483529.5,507883.16,6483529.5,"0",,54036,61298,64231,25880,9500,0,0,1960,20782,27861,25018,958,8888,10391,15401,16321,76701,419 226
A24303001,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,P7250500,La Pude,CONT,Eau de surface,,CHANSEAU,CHANSEAU,487739.3,6479316.5,489014,6480023,"0",,6260,5090,8890,3190,0,3330,0,,,,,,,,,,,26 760
A24303003,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,P72-0400,La Lizonne,CONT,Eau de surface,,LES CAILLOUX,LES CAILLOUX,487739.3,6479316.5,484959,6476875,"0",,19890,7665,12705,11383,7773,13100,12435,13115,13710,14875,8155,0,0,,,,,134 806
A24303004,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,P7250500,La Pude,CONT,Eau de surface,,GALY,GALY,487739.3,6479316.5,489886,6480651,"0",,6625,2658,3239,0,0,0,0,,,,,,,,,,,12 522
A24303006,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,P72-0400,La Lizonne,CONT,Eau de surface,,LE MOULIN AURINES,LE MOULIN AURINES,487739.3,6479316.5,484959,6476875,"0",,19890,7665,12705,11383,7773,13100,12435,13115,13710,14875,8155,0,0,,,,,134 806
A24303008,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,P7250500,La Pude,CONT,Eau de surface,,JUCARREAU,JUCARREAU,487739.3,6479316.5,488861,6479892,"0",,17350,10125,10035,9650,6735,10315,7810,9990,4200,5195,6100,330,7415,6665,2980,0,8805,123 700
A24303010,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,P72-0400,La Lizonne,CONT,Eau de surface,,LA FAUCHERIE,LA FAUCHERIE,487739.3,6479316.5,484959,6476875,"0",,54260,49810,53910,51740,42150,44300,68630,71680,76360,69260,57130,0,0,,,,,639 230
A24303011,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,P7250500,La Pude,CONT,Eau de surface,,LA RIVIERE,LA RIVIERE,487739.3,6479316.5,487739.3,6479316.5,"0",,17750,7145,10620,4155,0,5180,2965,0,0,0,0,0,5365,4265,0,0,4890,62 335
A24303013,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,P7250500,La Pude,CONT,Eau de surface,,LEMOULIN POIRIER,LEMOULIN POIRIER,487739.3,6479316.5,489562,6480410,"0",,6625,2658,3239,0,0,0,0,,,,,,,,,,,12 522
A24303015,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,,,CONT,Eau de surface,,LES NAUVES,LES NAUVES,487739.3,6479316.5,487739.3,6479316.5,"0",,0,10323,23436,25000,12000,28397,46122,53855,43737,35106,45512,0,40067,49295,33081,42479,33409,521 819
