obsnme,obsval,weight,obgnme
loc001n0068,156.87,1.0,07346X0017
loc001n0070,156.9,1.0,07346X0017
loc001n0072,156.94,1.0,07346X0017
loc001n0074,157.01,1.0,07346X0017
loc001n0076,156.94,1.0,07346X0017
loc001n0078,156.92,1.0,07346X0017
loc001n0080,159.59,1.0,07346X0017
loc001n0082,158.92,1.0,07346X0017
loc001n0084,158.48,1.0,07346X0017
loc001n0086,158.1,1.0,07346X0017
loc001n0088,157.44,1.0,07346X0017
loc001n0092,157.25,1.0,07346X0017
loc001n0093,157.24,1.0,07346X0017
loc001n0095,157.39,1.0,07346X0017
loc001n0097,157.39,1.0,07346X0017
loc001n0099,157.35,1.0,07346X0017
loc001n0101,157.45,1.0,07346X0017
loc001n0103,157.31,1.0,07346X0017
loc001n0105,157.3,1.0,07346X0017
loc001n0107,157.25,1.0,07346X0017
loc001n0109,157.22,1.0,07346X0017
loc001n0111,157.18,1.0,07346X0017
loc001n0113,157.1,1.0,07346X0017
loc001n0115,157.03,1.0,07346X0017
loc001n0117,157.03,1.0,07346X0017
loc001n0119,156.99,1.0,07346X0017
loc001n0122,156.84,1.0,07346X0017
loc001n0123,156.8,1.0,07346X0017
loc001n0125,157.11,1.0,07346X0017
loc001n0127,157.2,1.0,07346X0017
loc001n0129,157.06,1.0,07346X0017
loc001n0131,157.14,1.0,07346X0017
loc001n0133,157.11,1.0,07346X0017
loc001n0135,157.97,1.0,07346X0017
loc001n0137,161.23,1.0,07346X0017
loc001n0139,162.71,1.0,07346X0017
loc001n0141,162.31,1.0,07346X0017
loc001n0143,162.05,1.0,07346X0017
loc001n0145,161.98,1.0,07346X0017
loc001n0147,161.63,1.0,07346X0017
loc001n0149,161.71,1.0,07346X0017
loc001n0153,161.58,1.0,07346X0017
loc001n0154,161.59,1.0,07346X0017
loc001n0156,161.39,1.0,07346X0017
loc001n0158,161.22,1.0,07346X0017
loc001n0160,161.0,1.0,07346X0017
loc001n0162,160.78,1.0,07346X0017
loc001n0164,160.62,1.0,07346X0017
loc001n0166,160.47,1.0,07346X0017
loc001n0168,160.39,1.0,07346X0017
loc001n0170,160.45,1.0,07346X0017
loc001n0172,163.32,1.0,07346X0017
loc001n0174,164.66,1.0,07346X0017
loc001n0176,164.59,1.0,07346X0017
loc001n0178,164.35,1.0,07346X0017
loc001n0180,165.03,1.0,07346X0017
loc001n0184,164.94,1.0,07346X0017
loc001n0185,165.74,1.0,07346X0017
loc001n0187,165.66,1.0,07346X0017
loc001n0189,166.28,1.0,07346X0017
loc001n0191,166.42,1.0,07346X0017
loc001n0193,166.77,1.0,07346X0017
loc001n0195,168.27,1.0,07346X0017
loc001n0197,168.4,1.0,07346X0017
loc001n0199,168.01,1.0,07346X0017
loc001n0201,167.63,1.0,07346X0017
loc001n0203,167.26,1.0,07346X0017
loc001n0205,166.94,1.0,07346X0017
loc001n0207,166.55,1.0,07346X0017
loc001n0209,166.23,1.0,07346X0017
loc001n0211,165.97,1.0,07346X0017
loc001n0212,165.84,1.0,07346X0017
loc001n0213,165.72,1.0,07346X0017
loc001n0215,165.51,1.0,07346X0017
loc001n0217,165.32,1.0,07346X0017
loc001n0219,165.06,1.0,07346X0017
loc001n0221,164.86,1.0,07346X0017
loc001n0223,164.66,1.0,07346X0017
loc001n0225,164.42,1.0,07346X0017
loc001n0227,164.29,1.0,07346X0017
loc001n0229,164.21,1.0,07346X0017
loc001n0231,164.22,1.0,07346X0017
loc001n0233,164.2,1.0,07346X0017
loc001n0235,164.11,1.0,07346X0017
loc001n0237,163.98,1.0,07346X0017
loc001n0239,163.85,1.0,07346X0017
loc001n0243,163.68,1.0,07346X0017
loc001n0244,163.6,1.0,07346X0017
loc001n0246,163.52,1.0,07346X0017
loc001n0248,163.36,1.0,07346X0017
loc001n0250,163.32,1.0,07346X0017
loc001n0252,163.21,1.0,07346X0017
loc001n0254,163.66,1.0,07346X0017
loc001n0256,163.65,1.0,07346X0017
loc001n0258,163.58,1.0,07346X0017
loc001n0260,163.48,1.0,07346X0017
loc001n0262,163.39,1.0,07346X0017
loc001n0264,163.29,1.0,07346X0017
loc001n0266,163.16,1.0,07346X0017
loc001n0268,163.08,1.0,07346X0017
loc001n0270,162.96,1.0,07346X0017
loc001n0273,162.83,1.0,07346X0017
loc001n0274,162.78,1.0,07346X0017
loc001n0276,162.68,1.0,07346X0017
loc001n0278,162.61,1.0,07346X0017
loc001n0280,162.52,1.0,07346X0017
loc001n0282,162.4,1.0,07346X0017
loc001n0284,162.29,1.0,07346X0017
loc001n0285,160.18,1.0,07346X0017
loc001n0287,160.09,1.0,07346X0017
loc001n0289,159.98,1.0,07346X0017
loc001n0291,159.91,1.0,07346X0017
loc001n0293,159.81,1.0,07346X0017
loc001n0295,159.77,1.0,07346X0017
loc001n0297,159.75,1.0,07346X0017
loc001n0299,159.69,1.0,07346X0017
loc001n0301,159.61,1.0,07346X0017
loc001n0303,159.51,1.0,07346X0017
loc001n0305,159.35,1.0,07346X0017
loc001n0307,159.3,1.0,07346X0017
loc001n0310,159.98,1.0,07346X0017
loc001n0311,159.97,1.0,07346X0017
loc001n0313,159.81,1.0,07346X0017
loc001n0315,161.1,1.0,07346X0017
loc001n0317,160.84,1.0,07346X0017
loc001n0319,160.63,1.0,07346X0017
loc001n0321,160.49,1.0,07346X0017
loc001n0323,160.33,1.0,07346X0017
loc001n0325,160.2,1.0,07346X0017
loc001n0327,160.08,1.0,07346X0017
loc001n0329,160.06,1.0,07346X0017
loc001n0331,159.98,1.0,07346X0017
loc001n0333,159.88,1.0,07346X0017
loc001n0335,159.87,1.0,07346X0017
loc001n0337,159.82,1.0,07346X0017
loc001n0341,159.66,1.0,07346X0017
loc001n0342,159.66,1.0,07346X0017
loc001n0344,159.91,1.0,07346X0017
loc001n0346,161.59,1.0,07346X0017
loc001n0348,162.02,1.0,07346X0017
loc001n0350,162.11,1.0,07346X0017
loc001n0352,163.81,1.0,07346X0017
loc001n0354,163.72,1.0,07346X0017
loc001n0356,163.47,1.0,07346X0017
loc001n0358,163.23,1.0,07346X0017
loc001n0360,163.04,1.0,07346X0017
loc001n0362,162.87,1.0,07346X0017
loc001n0364,162.67,1.0,07346X0017
loc001n0366,162.48,1.0,07346X0017
loc001n0368,162.31,1.0,07346X0017
loc001n0371,162.12,1.0,07346X0017
loc001n0372,162.02,1.0,07346X0017
loc001n0374,161.87,1.0,07346X0017
loc001n0376,161.72,1.0,07346X0017
loc001n0378,161.58,1.0,07346X0017
loc001n0380,161.44,1.0,07346X0017
loc001n0382,161.29,1.0,07346X0017
loc001n0384,161.16,1.0,07346X0017
loc001n0386,161.02,1.0,07346X0017
loc001n0388,160.92,1.0,07346X0017
loc001n0390,160.84,1.0,07346X0017
loc001n0392,160.66,1.0,07346X0017
loc001n0394,160.58,1.0,07346X0017
loc001n0396,161.61,1.0,07346X0017
loc001n0398,161.72,1.0,07346X0017
loc001n0402,163.0,1.0,07346X0017
loc001n0403,162.96,1.0,07346X0017
